product_type,lsi_keywords
STL/CNC Terrain,"3d printable terrain, topographic relief model, digital elevation model, CNC carving file, terrain mesh for milling, relief map STL download, elevation data 3D print, DEM to STL conversion, 3D printed relief map, CNC router terrain file, STL terrain for Bambu Lab / Prusa / Ender 3"
Terrain 3D (viz),"terrain OBJ model, terrain FBX file, Cinema 4D terrain model, Blender terrain import, 3D visualization terrain, digital terrain model textured, satellite draped terrain, terrain mesh for rendering, photorealistic terrain model, terrain model for Unreal Engine / Unity / architecture visualization"
Satellite Map,"GeoTIFF satellite imagery, high-resolution satellite photo, satellite map download, true-color satellite image, GIS raster map, satellite basemap for QGIS/ArcGIS, aerial imagery map, orthophoto satellite map, satellite imagery for design"
Night Satellite Map,"earth at night map, night lights satellite image, nighttime city lights map, satellite image at night, light pollution map, urban lights aerial view"
Relief Map (legacy),"relief shading map, classic relief map, shaded relief terrain, topographic relief image, physical relief map, antique-style relief map"
Terrain w/o Water,"terrain without ocean, landmass-only terrain model, dry terrain 3D model, island terrain no water surface, bare elevation model"
Height/Elevation Map,"heightmap file, elevation raster, DEM height data, grayscale elevation map, gravity anomaly map, geoid model"
Historical Map,"antique map reproduction, vintage relief map, historical topographic map, old cartography model, historical map digitization"
Outline Map,"blank outline map, vector country borders, state boundary outline, printable outline map, SVG map outline"
Solar System,"planetary terrain model, NASA elevation data 3D print, lunar surface STL, planet surface texture 3D, space 3D printable model"
Fantasy Map,"fantasy map 3D print, fictional world terrain model, game map 3D model, fantasy relief map"
Building/Landmark,"landmark 3D model, architectural 3D print, famous building STL, building visualization model"
Minecraft,"minecraft 3D printable model, game character STL, voxel 3D model"
Art & Novelty,"novelty 3D print model, decorative STL model, 3D printable gift, jewelry pendant STL"
City 3D Model,"city 3D terrain model, urban relief model, city map 3D print"
Unclassified,"3D geographic model, custom terrain visualization"
